aX,aY,aZ,gX,gY,gZ,ss
0.404,0.009,-1.163,1.038,0.610,3.723,23.43
0.323,0.050,-0.783,0.244,2.075,4.028,23.43
0.408,0.074,-0.901,1.831,1.465,4.333,23.43
0.441,0.078,-1.046,1.770,1.465,4.028,23.43
0.266,0.083,-0.780,0.977,2.502,3.357,23.43
0.072,0.049,-0.897,0.183,-0.610,2.869,23.43
0.147,0.009,-1.305,1.465,-3.296,3.052,23.43
0.304,0.068,-1.209,0.183,-1.892,3.174,23.43
0.222,0.118,-0.965,0.793,1.831,3.479,23.43
0.194,0.141,-1.000,1.648,2.686,3.601,23.43
0.162,0.187,-1.008,1.160,3.662,3.845,23.43
0.061,0.320,-1.027,0.610,3.906,3.967,23.43
0.075,0.319,-0.974,0.488,1.770,3.723,23.43
0.216,0.068,-1.254,-0.916,1.404,3.296,23.43
0.285,-0.103,-0.967,-2.869,2.686,3.357,23.43
0.334,-0.070,-0.850,-1.343,1.282,3.601,23.43
0.419,0.109,-1.115,1.160,0.671,4.272,23.43
0.349,0.120,-1.150,-15.259,3.784,3.784,23.43
0.146,0.089,-0.839,-0.305,5.615,3.967,23.43
0.081,0.194,-0.806,0.549,3.723,3.662,23.43
0.142,0.191,-1.169,0.000,1.221,3.784,23.43
0.140,0.024,-1.109,-1.160,1.770,3.357,23.43
0.139,0.002,-0.916,-2.319,2.869,3.601,23.43
0.224,0.101,-1.252,0.244,2.075,4.089,23.43
0.265,0.183,-1.174,0.488,4.456,4.211,23.43
0.149,0.153,-1.037,-0.122,6.042,4.272,23.43
0.151,0.159,-0.942,-0.916,5.066,4.333,23.43
0.267,0.198,-0.946,-1.221,3.113,4.150,23.43
0.325,0.108,-0.932,-2.136,3.906,4.028,23.43
0.247,0.014,-0.709,-2.686,4.272,4.272,23.43
0.133,0.069,-0.773,-0.732,2.136,4.517,23.43
0.143,0.156,-1.200,0.183,1.892,4.333,23.43
0.067,0.114,-1.160,-1.404,3.906,4.028,23.43
-0.003,0.008,-1.167,-1.282,4.761,4.272,23.43
0.001,0.052,-0.980,-1.648,4.456,3.967,23.43
