aX,aY,aZ,gX,gY,gZ,S
0.270,-0.222,-0.274,6.042,34.241,-13.611,0.348
-0.485,1.753,-0.048,6.287,37.781,4.639,0.348
-0.622,-0.136,-0.985,-17.700,21.729,-7.751,0.348
-0.710,-0.235,-0.656,5.859,-7.202,-17.395,0.348
0.918,1.649,-2.432,4.761,-16.296,-21.484,0.348
0.837,1.186,-2.389,-12.878,7.324,-16.846,0.348
-0.409,-0.745,-0.933,-28.503,16.907,-17.151,0.348
-0.942,-1.519,1.415,-10.315,6.348,-5.859,0.348
0.988,0.701,-0.956,38.513,-8.667,9.521,0.348
0.551,0.476,-1.304,11.353,5.310,1.099,0.348
0.544,-0.171,-1.139,-11.780,15.076,1.648,0.348
-1.065,-0.575,0.075,-4.089,20.203,4.822,0.348
0.245,0.033,-2.193,20.386,-10.193,14.221,0.348
0.004,1.515,-0.676,2.075,-11.536,9.644,0.348
-0.009,-0.416,-0.683,-8.667,-14.832,-8.667,0.348
0.359,1.161,-2.394,-2.686,-1.465,4.395,0.348
-0.328,0.041,-1.584,-23.804,-1.099,-2.319,0.348
0.051,-1.208,-1.139,0.671,2.747,-2.319,0.317
0.401,0.661,-0.910,20.813,3.479,0.488,0.317
-0.219,0.220,-0.767,-8.362,25.818,-0.732,0.317
-0.014,0.471,0.067,-9.094,19.165,0.977,0.317
-1.443,-0.421,-0.471,-18.250,13.062,-8.118,0.317
0.478,1.513,-3.916,17.517,-20.203,-2.930,0.317
-0.853,-0.605,1.347,-19.531,-2.014,-17.029,0.317
-0.524,0.833,-3.110,10.132,-4.761,-2.563,0.317
-0.279,-0.108,0.354,12.512,-13.306,-23.987,0.317
0.345,0.423,-2.519,18.616,-1.831,-12.329,0.317
-0.498,1.425,-0.725,-2.319,7.935,-17.822,0.317
-0.357,-0.294,1.632,-26.123,1.282,-44.312,0.317
1.139,1.583,-4.000,34.668,-4.517,-18.860,0.317
-0.398,-0.556,1.528,-39.429,9.827,-24.719,0.317
-0.510,-0.995,-1.383,3.113,-0.427,-31.738,0.317
0.237,1.314,-4.000,43.030,-15.930,-13.123,0.317
1.127,-0.142,2.455,-43.701,25.085,-23.254,0.317
-0.608,0.727,-4.000,16.418,4.150,-24.841,0.317
0.335,-0.435,0.397,-11.536,12.268,-27.344,0.317
-2.254,0.893,-0.744,-5.859,2.319,-30.334,0.317
0.115,0.814,-2.973,17.639,-35.950,-32.959,0.317
-0.479,1.136,0.958,-13.977,-27.222,-27.039,0.317
1.388,1.520,-3.807,-7.812,-23.376,-29.236,0.317
0.105,-0.769,-0.653,-34.668,5.249,-51.453,0.317
0.394,-0.182,0.833,2.441,8.057,-33.020,0.317
0.134,0.460,-3.080,-17.639,23.804,-29.358,0.317
-0.741,-0.889,1.382,-22.034,13.550,-35.095,0.317
0.572,0.642,-1.807,46.082,-6.470,-26.367,0.317
-0.960,0.126,-0.542,-37.048,9.155,-44.067,0.317
-1.211,1.052,1.290,15.625,-25.146,-43.274,0.317
0.992,0.469,-3.343,4.333,-48.096,-58.533,0.317
0.292,1.992,2.047,-3.357,-19.470,-46.143,0.317
1.259,-0.218,-0.501,-25.574,6.348,-66.345,0.317
-0.196,1.588,2.302,-35.767,26.306,-35.400,0.317
1.636,-0.230,-3.531,7.629,31.250,-55.786,0.317
-0.711,-1.436,3.393,-68.115,53.772,-69.031,0.317
-0.084,0.314,-4.000,73.792,-46.021,-44.678,0.317
-0.723,-0.068,1.208,-0.305,-4.883,-62.073,0.317
-1.025,0.127,0.150,-24.109,-17.212,-61.401,0.317
0.659,-0.045,-2.600,52.002,-13.000,-72.144,0.317
-0.340,1.870,3.293,9.277,-2.930,-62.866,0.317
0.559,-0.301,-4.000,-8.179,14.465,-67.688,0.317
0.499,1.414,4.000,12.634,13.062,-57.373,0.317
0.402,0.716,-4.000,-31.738,27.283,-69.580,0.317
-1.874,-1.889,3.787,-64.453,16.724,-66.711,0.317
1.572,1.203,-4.000,135.864,-25.818,-48.828,0.317
0.296,-0.699,3.341,-84.534,58.472,-74.707,0.317
0.174,0.737,-3.994,89.844,5.493,-65.491,0.317
-2.361,-0.088,2.237,-61.829,30.273,-65.491,0.317
-2.229,-0.495,-0.801,58.777,-37.170,-55.054,0.317
-2.195,1.000,-0.406,75.378,-90.454,-65.247,0.317
1.045,0.437,-3.570,54.504,-96.863,-89.478,0.317
3.206,2.151,-3.350,17.273,-26.611,-81.543,0.317
0.470,0.074,-0.246,-96.924,58.716,-82.153,0.317
-0.535,-1.082,-3.805,-50.964,56.641,-84.595,0.317
-0.717,0.138,4.000,-48.340,53.467,-75.500,0.317
-1.204,-0.366,-3.914,27.832,31.372,-55.969,0.317
-0.888,-0.565,0.644,-9.888,12.024,-72.998,0.317
-1.814,-0.071,-1.120,44.617,-18.188,-73.303,0.317
0.583,0.879,-0.764,25.879,-52.795,-82.214,0.317
1.114,0.101,-2.296,-21.790,-32.471,-98.938,0.317
-0.021,1.726,1.948,4.578,-41.077,-93.018,0.228
1.379,0.531,-1.406,-34.851,-2.502,-101.257,0.228
-0.163,1.076,0.539,-10.986,-2.319,-105.896,0.228
0.906,0.406,1.412,-28.809,17.761,-79.773,0.228
-0.147,0.624,-4.000,0.916,35.095,-79.285,0.228
-0.725,-0.230,1.207,-39.673,14.526,-88.867,0.228
-1.277,-1.249,-4.000,1.160,-5.554,-84.778,0.228
-0.370,2.248,0.716,8.606,-41.565,-96.252,0.228
0.727,-0.426,-2.051,-29.053,-20.691,-109.619,0.228
0.552,0.288,-0.020,-21.057,-6.714,-98.267,0.228
0.209,-1.173,-0.251,20.020,-2.686,-99.976,0.228
2.709,-0.794,-3.997,50.171,37.720,-85.815,0.228
-4.000,-4.000,-0.016,-169.800,130.371,-17.639,0.228
-4.000,-4.000,4.000,-249.695,114.929,-11.658,0.228
-4.000,-4.000,0.269,-269.165,224.731,-137.207,0.228
-2.014,-4.000,-4.000,5.798,-21.484,74.219,0.228
0.225,0.364,3.814,47.485,42.725,68.787,0.228
-1.555,-1.355,-3.991,37.354,51.514,50.842,0.228
-0.501,-4.000,1.773,23.132,18.982,100.281,0.228
-0.687,1.474,-1.975,72.815,-55.786,117.432,0.228
3.162,-1.009,0.532,28.320,34.302,93.994,0.228
-1.605,-0.472,0.375,69.763,0.366,65.002,0.228
-1.006,-1.526,-1.812,150.146,-39.429,122.070,0.228
-1.617,0.352,-0.927,132.446,-55.847,120.361,0.228
-0.578,-0.486,-1.738,152.466,-67.139,142.578,0.228
-0.516,-0.351,-0.220,131.653,-86.060,162.659,0.228
-0.824,-0.054,-0.163,142.212,-89.539,161.682,0.228
-0.297,0.838,-0.687,140.137,-111.328,164.368,0.228
0.145,0.282,-0.472,156.799,-110.596,160.645,0.228
-1.033,0.543,1.269,136.597,-121.765,162.231,0.228
1.348,4.000,-4.000,36.865,-74.280,187.378,0.228
4.000,4.000,-3.918,-55.420,-46.326,146.729,0.228
1.291,3.977,-0.279,-165.527,-8.423,79.895,0.228
-0.012,-2.812,-1.446,-0.061,-32.104,75.867,0.228
-0.812,-1.839,-4.000,10.132,18.005,130.554,0.228
0.102,0.816,2.182,-88.867,60.120,136.108,0.228
-0.180,0.983,0.875,-95.032,16.602,66.711,0.228
0.461,0.404,-0.482,-142.090,33.997,76.233,0.228
0.974,-0.700,3.178,-114.136,-2.441,58.960,0.228
-0.238,-0.604,-0.923,-120.911,0.488,65.369,0.228
0.129,-0.691,0.159,-102.722,-13.489,74.219,0.228
-0.122,-0.156,1.126,-88.135,-32.593,72.937,0.228
0.364,-0.634,-1.380,-79.102,-7.141,66.406,0.228
-0.073,-2.833,0.325,-40.161,-16.907,67.749,0.228
-0.253,-0.628,-1.487,28.564,-32.410,99.792,0.228
1.511,-0.733,0.250,42.908,-24.353,109.497,0.228
0.850,-0.625,-1.327,90.088,-13.794,108.215,0.228
0.029,-0.171,-1.232,73.181,3.540,105.835,0.228
0.694,-0.206,-0.132,75.134,6.165,95.215,0.228
0.124,-0.967,0.917,83.801,9.644,101.746,0.228
1.483,-0.409,-1.219,110.474,28.625,114.075,0.228
2.798,0.150,-0.937,133.118,53.711,118.652,0.228
3.061,4.000,-4.000,67.627,137.329,131.897,0.228
-4.000,4.000,-4.000,-99.609,166.321,157.227,0.228
0.576,3.385,0.429,-159.363,70.984,91.492,0.228
-0.331,1.394,-0.188,83.618,-140.076,91.614,0.228
3.970,-0.432,0.787,5.066,-55.664,76.355,0.228
-1.653,-0.109,0.728,-70.007,-0.122,87.402,0.228
1.820,0.083,-0.536,-3.357,-42.236,67.139,0.228
-0.915,0.553,-1.184,-50.476,-6.531,65.552,0.228
-0.147,0.914,0.381,-60.486,-7.385,72.205,0.228
0.014,-0.991,0.677,-60.181,-28.137,63.110,0.228
1.394,-0.246,-2.132,-38.208,-15.503,80.566,0.228
0.229,-0.880,-0.231,-40.161,8.972,80.933,0.228
-0.116,-0.636,-0.256,-31.372,20.386,86.975,2.002
1.474,-1.922,1.991,23.376,36.560,85.999,2.002
1.959,0.198,-3.921,79.041,78.857,97.046,2.002
1.219,-0.536,-0.942,42.847,112.610,86.121,2.002
-0.179,-0.084,0.238,45.349,148.804,100.098,2.002
-4.000,2.625,-4.000,54.749,121.887,107.910,2.002
0.150,4.000,-0.839,138.123,-16.724,85.083,2.002
0.504,2.041,0.113,21.973,-87.952,47.729,2.002
2.715,3.336,-3.960,-53.223,-95.520,11.047,2.002
3.244,-2.219,4.000,-39.917,-46.509,22.705,2.002
0.851,-0.303,-2.655,-37.231,-11.963,12.878,2.002
1.575,-1.611,-0.397,-24.719,-10.132,14.954,2.002
-0.233,0.084,-0.289,-47.791,45.898,25.391,2.002
0.251,-0.289,-0.700,-57.251,35.583,12.329,2.002
0.160,-0.487,-0.625,-25.574,20.874,12.146,2.002
-0.953,-0.683,0.434,-53.833,25.635,26.123,2.002
0.108,-0.615,-1.396,17.029,9.338,33.508,2.002
-0.202,-0.355,-1.460,-0.610,-2.258,33.447,2.002
-0.833,-1.200,1.855,-77.148,-33.630,21.912,2.002
1.258,-4.000,-0.788,-165.710,38.147,-27.588,2.002
2.452,-3.951,3.975,-131.653,52.307,-17.029,2.002
2.082,-3.719,-3.714,177.673,-4.272,21.240,2.002
-2.074,0.791,-1.662,134.583,19.348,7.385,2.002
1.682,-0.303,-0.990,71.167,16.052,-6.042,2.002
-0.298,1.330,-4.000,54.749,8.240,-13.245,2.002
-1.619,0.662,-0.208,27.283,-11.047,-21.240,2.002
-0.402,-1.237,0.160,15.381,-20.020,4.822,2.002
0.105,-0.240,0.165,38.757,-39.124,6.531,2.002
0.670,0.471,-0.971,37.048,-18.066,9.949,2.002
