aX,aY,aZ,gX,gY,gZ,S
-0.369,-0.392,-1.027,47.852,3.357,-21.851,1.866
0.007,-0.391,-1.431,48.157,-8.850,-11.780,1.866
0.787,-0.236,-0.656,59.998,-12.878,-6.470,1.866
0.542,0.045,-0.237,59.814,-4.089,-9.338,1.866
-0.154,0.439,-0.932,44.250,9.338,-22.705,1.866
-0.268,0.232,0.035,33.691,-1.343,-26.489,1.866
0.022,0.729,-0.865,25.757,-3.601,-20.386,1.866
0.031,0.725,-0.340,5.249,-6.104,-11.963,1.866
0.261,0.311,-0.400,-11.963,-3.052,-11.902,1.866
0.082,0.272,-0.303,-18.005,0.183,-9.155,1.866
0.459,0.479,-0.459,-18.127,1.038,-5.432,1.866
0.243,0.006,-0.548,-35.522,7.996,-8.240,1.866
-0.293,-0.688,-1.217,-34.058,14.587,-9.521,1.866
-0.031,-0.503,-1.813,-14.709,2.502,-3.418,1.866
-0.010,-0.381,-1.440,1.526,-4.639,-3.174,1.866
0.123,-0.107,-1.520,13.550,-6.470,-1.160,1.866
0.323,0.333,-1.562,17.334,-0.732,7.324,1.866
-0.032,0.286,-0.982,10.376,1.404,3.845,1.866
0.160,0.341,-0.947,9.583,-1.038,2.502,1.866
0.027,0.231,-0.464,4.944,0.122,0.732,1.866
0.031,0.202,-0.609,1.892,-0.549,4.822,1.866
-0.066,0.155,-0.550,1.404,-3.357,5.676,1.866
-0.078,0.113,-0.807,0.916,-2.014,7.263,1.866
-0.024,0.147,-1.278,-2.625,0.000,5.493,1.866
0.001,0.025,-1.139,-4.089,0.671,4.517,1.866
0.009,0.011,-1.194,-1.831,0.549,4.578,1.866
0.064,0.042,-1.106,1.770,1.770,2.136,1.866
-0.062,0.003,-1.115,1.831,2.380,-3.845,1.866
-0.142,0.030,-0.894,4.517,-3.723,-0.671,1.866
0.083,0.167,-0.744,1.099,-1.587,0.549,1.866
0.064,-0.032,-0.726,-4.761,0.244,3.723,1.866
-0.065,0.328,-1.170,-2.930,1.770,6.470,1.866
-0.064,-0.092,-0.889,-6.348,-0.488,7.507,1.866
0.064,0.092,-1.035,-5.127,-2.869,7.629,1.866
0.212,-0.015,-1.129,-2.319,-3.601,6.042,1.866
0.110,-0.016,-0.979,-1.953,-0.977,2.808,1.866
-0.086,-0.228,-1.078,-2.380,1.343,3.052,1.866
-0.005,-0.052,-0.952,1.526,0.366,4.639,1.866
-0.165,-0.039,-0.850,2.136,0.122,6.470,1.866
0.066,-0.001,-0.722,0.549,-0.183,7.385,1.866
-0.035,0.010,-0.844,0.244,-0.977,6.653,1.866
-0.015,0.096,-0.896,-0.122,-2.869,6.165,1.866
0.019,-0.036,-0.971,-3.662,-4.456,6.165,1.866
