aX,aY,aZ,gX,gY,gZ,S
0.997,-0.163,-0.311,-0.427,-61.646,-4.700,0.035
1.174,2.062,-2.820,-57.922,-17.395,7.263,0.035
0.814,-1.465,2.507,35.950,-25.513,-15.747,0.035
0.257,1.804,-3.543,-57.800,51.941,14.526,0.035
-0.534,-0.859,1.027,58.716,3.723,4.028,0.035
-0.118,-0.134,-0.297,-29.785,30.640,15.198,0.035
-0.730,1.246,-3.941,49.683,-10.864,16.602,0.035
0.040,0.022,1.156,-24.170,-0.366,5.798,0.035
0.568,1.187,-3.221,-10.803,-1.343,10.681,0.035
-0.556,-1.305,1.966,-13.000,-11.230,-13.916,0.035
1.360,1.455,-4.000,-16.785,11.963,16.724,0.035
-0.256,-1.209,4.000,38.879,-6.836,8.240,0.035
-0.006,1.671,-4.000,-46.509,43.030,43.457,0.035
0.776,-1.126,2.863,56.152,-10.742,13.245,0.035
-1.424,0.899,-0.358,-14.221,17.456,17.395,0.035
0.798,-0.621,-2.857,37.048,-18.677,13.306,0.035
0.620,0.046,2.181,-35.461,1.282,2.563,0.035
0.967,0.170,-3.984,36.682,-7.324,16.052,0.035
-0.734,-0.267,2.871,-26.489,13.855,1.343,0.035
-0.968,0.458,-4.000,0.916,17.029,30.640,0.035
0.805,-0.690,3.192,57.800,-21.606,23.804,0.035
-0.473,0.642,-1.241,-36.926,13.184,30.334,0.035
0.390,0.346,-2.828,45.044,-11.719,39.734,0.035
-0.690,0.253,1.882,-56.091,24.170,21.606,0.035
-0.284,0.429,-4.000,53.284,-13.000,38.330,0.035
-2.498,1.789,3.136,-62.195,-40.344,25.940,0.035
-0.187,-4.000,-4.000,-62.866,-24.475,-55.908,0.035
0.016,-4.000,4.000,-136.597,-15.259,3.784,0.035
-2.214,-4.000,-3.050,4.456,-11.292,-25.818,0.035
4.000,-3.453,-2.644,102.478,41.504,7.812,0.035
0.378,-0.531,-1.270,200.989,-40.833,-3.967,0.035
-1.222,1.245,1.029,65.613,33.142,2.380,0.035
-0.917,0.762,-2.999,178.772,-20.935,-7.263,0.035
-0.540,2.386,-2.790,146.057,44.678,-35.034,0.035
0.579,-0.444,-3.734,20.569,121.582,-26.672,0.035
0.755,0.428,1.007,81.238,6.226,-12.024,0.035
-0.155,1.937,-1.488,-22.583,63.232,-14.465,0.035
-1.403,-0.469,-1.198,24.353,25.635,27.039,0.035
-0.879,1.975,0.304,0.977,-33.081,29.175,0.035
0.109,-1.321,-0.184,5.127,-25.757,20.691,0.035
1.157,1.044,-1.710,14.038,-52.002,6.470,0.035
1.197,0.732,1.100,-4.211,-25.818,-7.263,0.035
1.567,0.286,-0.961,-21.118,26.184,-7.751,0.035
0.681,0.389,-0.268,-5.249,33.081,-5.371,0.035
-0.613,0.416,-0.607,-21.179,56.152,2.808,0.035
-1.813,1.004,-1.081,-58.350,42.053,6.531,0.035
-1.229,0.361,-0.056,-68.359,-1.038,-0.427,0.035
-1.669,0.201,-0.527,-78.735,-30.334,-2.930,0.035
-0.020,0.560,-1.448,-94.421,-43.030,2.441,0.035
0.285,-0.002,-0.460,-92.590,-50.293,-0.854,0.035
0.174,-0.785,-0.496,-96.008,-16.602,-6.348,0.035
1.187,-1.881,-2.677,-51.270,10.254,-16.174,0.035
-1.018,-0.496,-2.500,-29.236,2.747,-14.038,0.035
0.407,-0.741,-1.631,-5.188,-18.005,-14.832,0.035
0.080,-1.196,-1.618,-20.752,1.648,-14.160,0.035
1.080,-0.162,-1.597,30.579,-10.071,-17.456,0.035
