aX,aY,aZ,gX,gY,gZ,S
-1.149,-0.031,-1.733,7.019,1.953,26.306,0.348
-0.699,0.707,-0.086,31.433,-16.052,39.063,0.348
0.665,0.775,1.447,21.545,-28.931,20.020,0.348
0.311,2.463,-4.000,13.672,-29.724,30.945,0.348
0.441,-0.662,-1.650,-40.100,8.118,6.897,0.348
-0.016,-0.664,-3.125,6.592,8.484,7.874,0.348
2.482,1.734,-4.000,27.222,29.846,12.329,0.348
-0.112,1.867,3.632,-95.276,68.542,33.813,0.348
2.942,-4.000,-0.884,-178.528,50.110,-49.805,0.348
3.956,-4.000,3.710,-407.959,117.798,-133.423,0.348
-3.989,-4.000,4.000,-111.206,-7.324,-87.952,0.348
0.927,-4.000,-2.790,452.942,2.869,-24.353,0.348
-4.000,-4.000,-3.203,230.225,-31.799,21.301,0.348
2.928,2.070,-4.000,246.948,-51.514,-24.292,0.348
0.300,2.562,3.998,332.336,-128.723,66.589,0.348
2.713,2.737,-3.728,169.617,-69.763,1.465,0.348
-2.509,0.302,-4.000,164.307,-59.753,-32.166,0.348
-0.960,-1.614,-1.670,244.507,-131.836,-9.644,0.348
1.803,1.992,1.849,151.978,-54.443,-0.549,0.348
0.677,-1.102,0.096,168.091,-67.688,-47.607,0.348
0.632,0.110,-1.551,181.458,-50.720,12.207,0.348
4.000,4.000,1.390,110.107,14.038,33.691,0.348
-1.573,0.213,-4.000,208.496,107.544,7.263,0.348
-1.163,4.000,2.245,-36.438,163.513,73.547,0.348
-3.540,2.194,-4.000,66.467,40.466,-26.123,0.348
-4.000,-0.856,2.707,25.269,-6.470,-20.081,0.348
3.980,1.590,2.083,87.585,-83.191,12.024,0.348
0.271,1.756,-0.330,107.666,-57.373,-56.213,0.348
0.257,-0.620,1.088,48.401,-24.902,-44.312,0.348
1.093,0.337,1.354,53.772,5.676,-13.977,1.692
-0.849,1.044,1.426,8.118,17.883,-12.207,1.692
-0.221,-0.286,-0.821,9.216,20.691,-30.029,1.692
1.136,0.453,-1.030,15.991,19.226,-17.822,1.692
0.501,-0.215,0.877,18.677,16.785,-19.714,1.692
1.103,0.293,-0.612,20.630,31.372,-24.170,1.692
1.015,0.459,-0.459,19.226,60.486,-25.024,1.692
-0.729,1.258,-0.319,-15.442,78.247,-23.499,1.692
-1.665,1.076,-1.738,-38.940,57.007,-19.287,1.692
-0.449,1.977,-1.269,-87.769,11.169,-25.330,1.692
0.157,1.032,-1.939,-67.932,-22.156,-30.334,1.692
0.046,0.678,-0.052,-111.206,-1.343,-28.503,1.692
0.062,-0.220,-0.335,-122.314,4.028,-31.555,1.692
-0.200,0.723,0.209,-124.634,-6.226,-34.546,1.692
0.221,1.336,-0.684,-115.051,-27.710,-43.030,1.692
0.653,-0.361,0.631,-145.386,-4.761,-43.213,1.692
-0.385,1.031,0.064,-121.399,1.526,-35.950,1.692
0.502,1.118,-1.551,-137.329,4.944,-31.982,1.692
0.189,0.177,0.672,-135.986,18.372,-35.645,1.692
0.394,1.511,-2.979,-141.968,24.597,-28.259,1.692
0.269,1.179,0.442,-204.224,27.344,-34.607,1.692
1.830,1.156,-2.413,-211.975,43.884,-35.583,1.692
0.443,0.811,-0.919,-253.235,81.055,-40.894,1.692
1.877,-0.876,0.170,-255.005,86.365,-28.625,1.692
-2.080,-1.327,0.032,-250.000,99.304,-11.963,1.692
-1.680,-1.346,-0.535,-186.707,45.532,3.052,1.692
-1.875,-1.267,-1.571,-106.812,15.381,2.197,1.692
-2.814,-0.479,-2.351,-93.262,-68.115,-22.400,1.692
1.254,-1.664,-2.331,-26.367,-98.267,-17.822,1.692
1.554,-1.930,-1.839,-43.823,-35.522,6.470,1.692
1.219,-1.102,-2.880,18.921,-22.949,-8.301,1.692
1.144,-1.065,-1.887,31.128,18.860,-0.916,1.692
0.091,1.052,-3.624,54.993,30.334,7.568,1.692
0.320,-0.691,-1.221,40.466,24.292,-8.118,1.692
0.457,-0.530,0.272,70.068,16.418,-4.883,1.692
-0.181,-0.301,-0.207,56.030,49.927,-1.526,1.692
-0.601,-0.323,-2.281,76.782,40.039,-12.634,1.692
-1.671,0.055,0.686,78.491,12.268,-16.174,1.692
-0.820,-0.491,-2.046,90.881,-15.259,-0.793,1.692
0.284,0.337,0.067,116.821,-55.237,13.062,1.692
-0.231,0.389,-0.610,100.098,-45.654,-6.104,1.692
1.134,0.503,-0.222,102.234,-57.434,5.066,1.692
0.821,1.385,-0.577,105.652,-29.053,5.188,1.692
0.222,0.738,-0.854,73.486,7.812,-3.052,1.692
0.513,0.890,-0.760,39.795,18.616,-13.000,1.692
-0.219,0.235,-0.077,24.231,23.987,-10.132,1.692
0.001,0.249,-0.497,8.606,15.991,-8.911,1.692
-0.210,0.291,-0.464,-0.244,16.052,-8.423,1.692
-1.027,0.889,-0.739,-31.982,11.047,-9.094,1.692
-0.167,-0.376,-0.646,-33.875,-7.935,-11.536,1.692
0.313,0.748,-0.729,-43.274,-12.573,-1.404,1.692
0.153,0.538,-0.353,-65.247,-6.165,-2.747,1.692
0.314,0.330,-1.013,-67.322,6.531,-3.601,1.692
0.146,0.568,-0.602,-53.284,-5.432,-3.418,1.692
0.189,0.388,-1.551,-50.293,2.563,-3.418,1.692
0.494,-0.211,-1.722,-36.865,9.277,11.047,1.692
0.127,-0.339,-2.822,-33.508,12.451,14.771,1.692
-0.195,-1.275,-0.226,-46.997,14.587,6.470,1.692
0.453,-0.644,-1.613,27.344,-16.418,5.371,1.692
0.135,-0.439,-1.248,11.292,5.249,1.587,1.692
-0.137,-0.009,-0.421,45.227,-1.282,10.925,1.692
0.347,0.649,-1.251,31.677,-2.808,15.564,1.692
0.319,0.573,-0.395,20.081,2.197,17.395,1.692
0.045,0.277,-1.456,-5.005,8.667,10.803,0.981
0.026,0.006,-0.630,9.827,0.061,2.136,0.981
-0.129,0.073,-0.595,-3.052,6.409,3.540,0.981
-0.424,-0.241,-1.091,-7.019,5.737,6.042,0.981
-0.488,0.462,-1.411,-5.066,1.038,11.780,0.981
-0.169,-0.020,-0.383,-24.719,-6.348,6.836,0.981
0.037,-0.360,-0.338,-4.211,-15.442,9.521,0.981
